tx_hash,block_number,block_timestamp,input_value,output_value,is_coinbase,fee,lock_time
4f6deadc7ea62edc3fef2a030c98025de2b43d9cfac6370c4b13461d77f713fb,990623,2020-09-30 21:10:19 UTC,29080342,29070944,false,9398,0
3c90c80ab569441aecebe93bee62840883ce0053bd01e5ad7012254217a405b7,990623,2020-09-30 21:10:19 UTC,10000,0,false,10000,0
05d899fc4e5e4c20e188d8ee697196ac10d8e4fbb377b38d2e2353a885cd1289,990623,2020-09-30 21:10:19 UTC,2500511901,2500501901,false,10000,0
bb95bbada865145a421198ea2370f4bbe9cc1f3a503117aa48d637f72dc06d5d,990623,2020-09-30 21:10:19 UTC,1004540,1002090,false,2450,0
91231625363863d9c0bf69d1666f288a0672d4c9e6a7da27cfe0f100b23f309e,990623,2020-09-30 21:10:19 UTC,19851192868,19851182868,false,10000,0
0a0027b3f4f8577296f463c432a031b7a66d3dbb8d91220140aaafe3dbef40db,990623,2020-09-30 21:10:19 UTC,3703569,3698484,false,5085,990612
925231b3d1eac7397d85d87abab3588246f05083e1b76a1a19c4e0126dbbf5ed,990623,2020-09-30 21:10:19 UTC,612047975,612038315,false,9660,0
07a37525ddaded5a49d3555e24570e6d32a8c0ea19862855deb2ac14b6b3cd38,990623,2020-09-30 21:10:19 UTC,457772519239,457772516617,false,2622,990612
4a89f53c8b1f0354f4fc2b821eab2ccc8e31f87699956382bf208aaed11c7cee,990623,2020-09-30 21:10:19 UTC,10000,0,false,10000,0
4398b25be1420f6741d21c27b1923acd6075f03bfd1d712ad9643156472348cd,990623,2020-09-30 21:10:19 UTC,464477221,464452242,false,24979,990612
5d862ed2f592abf46542f4ff331ceb0d43f8afd4a896ad3965a1b1a10edd0175,990623,2020-09-30 21:10:19 UTC,1000281462,1000271462,false,10000,0
6199fe1174976ada5fecbe90cb0ad9433bcbcc0b407ad75f29116b3c14eec924,990622,2020-09-30 21:05:10 UTC,3500315831,3500305831,false,10000,0
3fd87fcab5c1057f67b878cf30e1f945a787e1b5ea74189512de1c925b8ae1fe,990622,2020-09-30 21:05:10 UTC,128919734,128916161,false,3573,0
42a4deb4598b738e410c0b5e7beaca930269613ec13f6a0dc33f648ea090003b,990622,2020-09-30 21:05:10 UTC,92174483,92171523,false,2960,0
e45a902d400bc393ac200ab558d9dce17a6b294891e17a0380dfe5ce27ff0992,990622,2020-09-30 21:05:10 UTC,238631124192,238631114192,false,10000,0
ecf3671c2485c257368a0f0a7780e14c0a581b815dc271ac3b2e0ec79ca02a42,990622,2020-09-30 21:05:10 UTC,149697455020,149697452670,false,2350,0
0d43402888de947461083eb18c7a6dc1a9cd797c5a131a2e6a5718770e427a74,990622,2020-09-30 21:05:10 UTC,3000681622,3000671622,false,10000,0
eae0286d8f34fbd115d80f5164c4d61575c718292fe2e07c1a6b479ec6c32556,990621,2020-09-30 21:03:55 UTC,10000,0,false,10000,0
9bc85519ec20606e68276544f257ad6cf62df11a9e9e711240be21c7aff9bdc1,990621,2020-09-30 21:03:55 UTC,499980000,499970000,false,10000,0
b60c876a4dfbfe059c45a4310a2e50c6a38c4b2d0c461a6412eb18d36fbf61c1,990621,2020-09-30 21:03:55 UTC,10000,0,false,10000,0
23bf486c7f1a9e7c4b04c6cf2fe2f23e152c63e842852118ef6915c0768480a5,990621,2020-09-30 21:03:55 UTC,7472222626,7472213802,false,8824,990609
c185613bc332e3129f0fd01cc6e5d6733780a73ceb05bdd986ab2ae73f06c9dd,990621,2020-09-30 21:03:55 UTC,596753154,596749254,false,3900,990610
8117887f486227a55cf0e96f7d29486e7ae70cd54f7101eed823a50c67966600,990620,2020-09-30 21:02:11 UTC,499990000,499980000,false,10000,0
4d49edfa7df0931cd2f35da801b6d176efd0db3920165071b79aab8c01f77302,990620,2020-09-30 21:02:11 UTC,10000,0,false,10000,0
cbccebedc6ba79ecdcacdc65df8715a901aa91807c5ff4b40d8c732cb3f0bd32,990620,2020-09-30 21:02:11 UTC,710426181,710416181,false,10000,0
080a6b5718c0b6522536edaba2fdc6538ffe4a162f76a16ea0b73e3ac092bec9,990620,2020-09-30 21:02:11 UTC,125953783,125936001,false,17782,0
50e10bd08cc168c82ea4fb897ef468bb9ccb0ec64bb75e68b05691903325bba1,990620,2020-09-30 21:02:11 UTC,10000,0,false,10000,0
